Nationality,Gender,customer_age,years_in_operation,has_insurance,active_loan_holder,has_internet_banking,has_debit_card,credit_card_ownership,compliance_income_tax,current_problem_cash_flow,liquidity_constraint,uses_informal_lender,uses_friends_family_savings,funding_access_barrier,mobile_wallet_access,extends_customer_credit,inventory_shrinkage_risk,financial_tracking,log_gross_income,log_operating_expense,log_business_sales,profit_margin,revenue_efficiency,financial_stress_score,formality_score,digital_access_score,insurance_gap,extends_credit,survey_coverage,cluster
Kenya,Male,45.0,18.0,No,Never had,Never had,Never had,Never had,Yes,No,Yes,Never had,Never had,Yes,Never had,No,No,Yes - always,11.225256725762893,7.313886831633462,10.596659732783579,3.9113698941294315,0.9679732771695685,2.0,1.0,0,0,0,1.0,Established_Veterans
DRC,Not Surveyed,22.0,0.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,Don't know,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,6.398594934535208,8.412054873292933,8.699681400989514,-2.013459938757725,0.6596706293757705,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Kenya,Female,38.0,10.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,No,Have now,Yes - sometimes,No,Yes - always,11.982935344196433,12.948012371209098,13.304686600863562,-0.965077027012665,0.837692965847503,1.0,0.0,1,0,1,1.0,Large_Informal
Ghana,Female,60.0,18.0,No,Never had,Never had,Never had,Never had,Yes,No,Yes,Never had,Never had,Yes,Never had,Yes - always,Not Surveyed,Yes - always,6.111467339502679,7.313886831633462,7.601402334583733,-1.2024194921307831,0.7105198782447658,2.0,1.0,0,0,1,1.0,Established_Veterans
Uganda,Female,38.0,4.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,Yes,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - always,No,Yes - always,7.783640596221253,9.23024103368252,9.575052927597383,-1.4466004374612664,0.7360379800945044,5.0,1.6666666666666665,1,0,1,0.5,High_Risk_Informal
Uganda,Female,38.0,3.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Don't know,Don't know,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,Yes - sometimes,5.993961427306569,7.783640596221253,8.881975184248867,-1.7896791689146836,0.6065549969059321,5.0,0.0,1,1,0,0.5,High_Risk_Informal
Kenya,Female,22.0,1.0,No,Never had,Never had,Never had,Never had,No,No,No,Used to have but don't have now,Used to have but don't have now,No,Used to have but don't have now,Yes - sometimes,No,No,11.918397239722838,13.652992804936396,13.997832948091215,-1.7345955652135583,0.7946746227253918,0.0,0.0,0,0,1,1.0,Large_Informal
Ghana,Female,40.0,3.0,No,Have now,Have now,Have now,Never had,Yes,No,No,Never had,Never had,Yes,Have now,Yes - always,Not Surveyed,Yes - always,8.412054873292933,8.006700845440367,8.922791623969637,0.4053540278525656,0.8477508338452511,1.0,3.0,2,0,1,1.0,Stable_Formal
Ghana,Female,43.0,7.0,No,Never had,Never had,Have now,Never had,Yes,Yes,No,Never had,Never had,Yes,Never had,No,Not Surveyed,Yes - always,7.601402334583733,8.517393171418904,9.305741456739435,-0.9159908368351708,0.7375890775537358,2.0,2.0,0,0,0,1.0,Stable_Formal
Kenya,Male,36.0,5.0,No,Never had,Never had,Never had,Never had,Yes,No,No,Never had,Never had,Yes,Have now,Yes - sometimes,No,Yes - always,13.710151153416941,14.403297778421795,16.195056784687036,-0.6931466250048537,0.7973309611647483,1.0,1.0,1,0,1,1.0,Large_Informal
Uganda,Female,47.0,4.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,No,5.017279836814924,6.8679744089702925,8.006700845440367,-1.8506945721553683,0.557060784288724,5.0,0.0,1,1,0,0.5,High_Risk_Informal
Kenya,Female,39.0,19.0,No,Never had,Never had,Never had,Never had,No,Yes,No,Never had,Have now,No,Never had,Yes - sometimes,No,Yes - always,10.645448706505872,12.54254845357358,13.130333531178522,-1.897099747067708,0.7533756144550116,2.0,0.0,0,0,1,1.0,Established_Veterans
DRC,Not Surveyed,46.0,10.0,Not Surveyed,Used to have but don't have now,Have now,Never had,Not Surveyed,No,Yes,Not Surveyed,Never had,Never had,Yes,Have now,Not Surveyed,Yes,Not Surveyed,8.38958706681109,8.188966863648876,8.987321812850125,0.20062020316221485,0.8400237044546498,2.5,1.6666666666666665,2,1,0,0.7,Stable_Formal
Ghana,Male,45.0,5.0,No,Used to have but don't have now,Never had,Never had,Never had,No,No,No,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - sometimes,8.006700845440367,8.517393171418904,10.021315031649332,-0.5106923259785372,0.7264741841103303,1.0,0.0,1,0,0,1.0,Large_Informal
Uganda,Female,34.0,9.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,Yes - sometimes,5.442417710521793,8.188966863648876,8.881975184248867,-2.7465491531270825,0.5507418920861693,5.0,0.0,1,1,1,0.5,High_Risk_Informal
Kenya,Male,39.0,19.0,No,Never had,Never had,Have now,Never had,No,No,Yes,Never had,Never had,Yes,Have now,No,No,No,11.082157933374816,8.517393171418904,9.61587214452889,2.564764761955912,1.043923455604751,2.0,1.0,1,0,0,1.0,Large_Informal
Ghana,Female,80.0,25.0,No,Have now,Never had,Never had,Never had,No,Yes,Yes,Used to have but don't have now,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,No,6.803505257608338,5.860786223465865,9.61587214452889,0.9427190341424723,0.6408804820727485,3.0,0.0,1,0,1,1.0,Established_Veterans
Uganda,Female,32.0,4.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,5.5254529391317835,7.732369222284388,9.169622538697624,-2.206916283152604,0.5433292059863809,2.5,0.0,1,0,1,0.5,High_Risk_Informal
Ghana,Male,51.0,12.0,Yes,Never had,Have now,Have now,Never had,Yes,No,Yes,Never had,Never had,Yes,Never had,No,Not Surveyed,Yes - always,9.90353755128617,9.53249633228804,10.819798284210286,0.3710412189981298,0.8378770358979822,2.0,4.0,1,0,0,1.0,Stable_Formal
DRC,Not Surveyed,51.0,2.0,Not Surveyed,Used to have but don't have now,Have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Yes,Have now,Not Surveyed,Yes,Not Surveyed,6.2166061010848646,5.993961427306569,5.707110264748875,0.22264467377829522,0.9268680334298371,2.5,3.333333333333333,2,1,0,0.7,Stable_Formal
Kenya,Male,43.0,6.0,No,Never had,Never had,Never had,Never had,No,Yes,No,Never had,Have now,No,Never had,Yes - always,No,No,13.45883704259595,12.847929163278053,15.943742382861155,0.6109078793178977,0.7943249335642499,2.0,0.0,0,0,1,1.0,Large_Informal
Ghana,Male,29.0,1.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Never had,No,Not Surveyed,No,9.61587214452889,8.625329850020815,9.61587214452889,0.9905422945080744,0.9058014276749394,3.0,0.0,0,0,0,1.0,Large_Informal
Ghana,Male,45.0,0.0,No,Have now,Have now,Have now,Never had,Yes,No,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - always,8.294299608857235,9.350189267092581,9.648659816955295,-1.0558896582353459,0.7789054915296161,2.0,3.0,2,0,0,1.0,Stable_Formal
Ghana,Male,59.0,15.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,No,8.160803920954665,9.798182590890704,11.002116507732017,-1.637378669936039,0.6799470673107783,2.0,0.0,0,0,1,1.0,Established_Veterans
Kenya,Male,28.0,12.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Have now,No,No,Yes - always,14.285514812209815,15.894952224644102,16.770420889081343,-1.6094374124342874,0.8038928791488132,2.0,0.0,1,0,0,1.0,Large_Informal
Kenya,Male,33.0,10.0,No,Never had,Never had,Have now,Never had,No,No,Yes,Never had,Never had,No,Have now,No,Yes,No,14.508658238524095,13.815511557963774,17.011936294903045,0.6931466805603215,0.8055024180065363,1.0,1.0,1,1,0,1.0,Large_Informal
Ghana,Male,28.0,6.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,Yes - sometimes,5.303304908059076,7.3783837129967145,7.496097345175956,-2.0750788049376387,0.6242048192950929,3.0,0.0,0,0,1,1.0,Large_Informal
Uganda,Male,61.0,36.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,No,3.9318256327243257,5.198497031265826,6.042632833682381,-1.2666713985415003,0.5582891690618623,5.0,0.0,1,0,0,0.5,Established_Veterans
Kenya,Male,22.0,4.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,No,Have now,Yes - sometimes,No,No,13.815511557963774,15.76142084987672,16.012735246411598,-1.9459092919129457,0.8120688036262601,1.0,0.0,1,0,1,1.0,Large_Informal
Uganda,Female,51.0,2.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,Yes - sometimes,4.7535901911063645,7.0909098220799835,8.006700845440367,-2.337319630973619,0.5277837326542121,2.5,0.0,1,1,1,0.5,High_Risk_Informal
DRC,Not Surveyed,50.0,5.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Have now,Yes,Have now,Not Surveyed,Yes,Not Surveyed,4.584967478670572,4.584967478670572,4.584967478670572,0.0,0.8209479278403897,3.75,1.6666666666666665,1,1,0,0.7,Stable_Formal
Uganda,Male,48.0,12.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,5.860786223465865,8.006700845440367,8.343077871169383,-2.1459146219745016,0.6272864578760412,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Uganda,Female,34.0,3.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,4.394449154672439,9.692828247710418,10.134638955251866,-5.298379093037979,0.3946647190207917,2.5,0.0,1,0,1,0.5,High_Risk_Informal
Uganda,Female,28.0,2.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,Yes - sometimes,4.795790545596741,5.8888779583328805,7.6783263565068856,-1.0930874127361392,0.5526169849559673,5.0,0.0,1,1,0,0.5,High_Risk_Informal
Uganda,Female,63.0,10.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,No,5.017279836814924,6.398594934535208,7.783640596221253,-1.3813150977202833,0.5712073236436122,5.0,0.0,1,0,0,0.5,High_Risk_Informal
Uganda,Female,37.0,21.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,7.467942332285852,8.594339400592892,9.65509029374725,-1.12639706830704,0.7008802484450348,2.5,0.0,1,0,1,0.5,Established_Veterans
Uganda,Female,27.0,3.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,4.61512051684126,6.580639137284949,8.188966863648876,-1.9655186204436896,0.5022458547650728,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Uganda,Male,38.0,2.0,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Used to have but don't have now,No,No,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,Yes - always,6.90875477931522,8.006700845440367,8.699681400989514,-1.0979460661251466,0.7122661553203617,0.0,1.6666666666666665,1,0,0,0.5,Stable_Formal
DRC,Not Surveyed,68.0,0.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,No,Have now,Not Surveyed,Yes,Not Surveyed,6.90875477931522,5.707110264748875,6.90875477931522,1.201644514566345,0.8735578447045257,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
DRC,Not Surveyed,80.0,5.0,Not Surveyed,Have now,Have now,Have now,Not Surveyed,Yes,Yes,Not Surveyed,Used to have but don't have now,Never had,No,Have now,Not Surveyed,Yes,Not Surveyed,4.584967478670572,4.584967478670572,4.584967478670572,0.0,0.8209479278403897,1.25,5.0,2,1,0,0.7,Stable_Formal
Uganda,Female,55.0,2.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,No,3.713572066704308,5.484796933490655,6.580639137284949,-1.7712248667863468,0.48987585340124046,5.0,0.0,1,0,0,0.5,High_Risk_Informal
DRC,Not Surveyed,37.0,6.0,Not Surveyed,Used to have but don't have now,Never had,Never had,Not Surveyed,No,Yes,Not Surveyed,Have now,Never had,Yes,Have now,Not Surveyed,Yes,Not Surveyed,8.517393171418904,6.68586094706836,7.601402334583733,1.8315322243505445,0.9902330852694737,3.75,0.0,1,1,0,0.7,Large_Informal
Uganda,Female,51.0,7.0,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,Yes - sometimes,5.993961427306569,10.203629181337648,10.491301994830229,-4.209667754031079,0.5216085548881376,5.0,1.6666666666666665,1,0,0,0.5,High_Risk_Informal
Uganda,Female,27.0,2.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,Don't know,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,Yes - sometimes,3.4339872044851463,6.042632833682381,6.660575149839686,-2.608645629197235,0.4482675435351626,5.0,0.0,1,1,1,0.5,High_Risk_Informal
Uganda,Female,40.0,2.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - always,6.2166061010848646,8.476579508530941,9.575052927597383,-2.2599734074460764,0.5878557907603075,5.0,0.0,1,0,0,0.5,High_Risk_Informal
Uganda,Male,53.0,3.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,Yes,Yes - always,6.255750041753367,7.9658927350845286,8.738895704934043,-1.7101426933311616,0.6423469591715618,5.0,0.0,1,1,1,0.5,High_Risk_Informal
Ghana,Female,43.0,21.0,No,Never had,Never had,Have now,Never had,Yes,Yes,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - always,10.203629181337648,9.852246888342531,10.12667110305036,0.35138229299511714,0.917042400807582,3.0,2.0,1,0,1,1.0,Established_Veterans
Uganda,Female,40.0,15.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - always,No,No,4.795790545596741,6.8679744089702925,7.273092595999522,-2.072183863373551,0.5796853461927599,2.5,0.0,1,0,1,0.5,High_Risk_Informal
Ghana,Female,54.0,5.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - always,7.824445930877619,8.294299608857235,9.392745258631441,-0.4698536779796161,0.7528757547847347,3.0,0.0,1,0,1,1.0,Large_Informal
Kenya,Female,42.0,15.0,No,Never had,Never had,Never had,Never had,No,Yes,No,Never had,Have now,Yes,Never had,Yes - sometimes,No,No,10.308985993422082,10.819798284210286,11.002116507732017,-0.5108122907882038,0.8589306716678525,3.0,0.0,0,0,1,1.0,Large_Informal
Kenya,Female,32.0,3.0,No,Never had,Never had,Never had,Never had,No,Yes,No,Never had,Have now,No,Have now,Yes - sometimes,No,Yes - always,13.45883704259595,13.122365377402328,15.943742382861155,0.33647166519362237,0.7943249335642499,2.0,0.0,1,0,1,1.0,Large_Informal
Ghana,Male,37.0,11.0,No,Never had,Never had,Have now,Never had,No,No,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - always,8.922791623969637,10.12667110305036,10.819798284210286,-1.2038794790807223,0.7549021911726976,2.0,1.0,1,0,1,1.0,Large_Informal
Ghana,Male,37.0,0.0,No,Never had,Never had,Used to have but don't have now,Never had,No,Yes,Yes,Never had,Never had,Yes,Never had,No,Not Surveyed,No,6.90875477931522,8.160803920954665,8.699681400989514,-1.2520491416394446,0.7122661553203617,3.0,0.0,0,0,0,1.0,Large_Informal
Uganda,Male,35.0,1.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,No,3.044522437723423,4.795790545596741,6.175867270105761,-1.7512681078733183,0.4242724012478218,2.5,0.0,1,0,1,0.5,High_Risk_Informal
Uganda,Female,29.0,1.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,5.303304908059076,5.484796933490655,6.8679744089702925,-0.18149202543157905,0.6740368781592334,2.5,0.0,1,0,1,0.5,High_Risk_Informal
Ghana,Female,57.0,3.0,No,Never had,Never had,Have now,Never had,Yes,Yes,No,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - always,10.085850775128717,7.601402334583733,8.699681400989514,2.484448440544984,1.0398125833390577,2.0,2.0,1,0,1,1.0,Stable_Formal
DRC,Not Surveyed,40.0,15.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Never had,No,Have now,Not Surveyed,Yes,Not Surveyed,7.601402334583733,7.0909098220799835,7.313886831633462,0.5104925125037498,0.9143018769104724,1.25,1.6666666666666665,1,1,0,0.7,Stable_Formal
Kenya,Male,35.0,5.0,No,Never had,Never had,Have now,Never had,No,No,Yes,Never had,Never had,Yes,Never had,No,No,Yes - always,13.710151153416941,12.611541086966115,16.012735246411598,1.098610066450826,0.8058757721694839,2.0,1.0,0,0,0,1.0,Large_Informal
Uganda,Female,29.0,3.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,4.2626798770413155,5.707110264748875,8.188966863648876,-1.44443038770756,0.4638910924691957,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Ghana,Female,30.0,3.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Have now,Yes - sometimes,Not Surveyed,Yes - sometimes,7.741099090035366,8.294299608857235,8.77971129020447,-0.5532005188218694,0.7915467911398353,2.0,0.0,1,0,1,1.0,Large_Informal
Ghana,Female,35.0,1.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,No,8.006700845440367,8.699681400989514,9.105090961257085,-0.6929805555491466,0.7923432729243166,3.0,0.0,0,0,1,1.0,Large_Informal
Uganda,Male,47.0,5.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - sometimes,5.707110264748875,7.560601162768557,8.188966863648876,-1.8534908980196816,0.6210829083872244,2.5,0.0,1,0,0,0.5,High_Risk_Informal
Kenya,Male,37.0,2.0,No,Never had,Never had,Have now,Never had,Yes,Yes,Yes,Never had,Have now,No,Used to have but don't have now,No,No,No,11.338583982516495,11.759793355371237,12.031725210748633,-0.4212093728547419,0.8700754350747338,3.0,2.0,0,0,0,1.0,Stable_Formal
Ghana,Female,42.0,27.0,No,Never had,Have now,Never had,Never had,Yes,Yes,Yes,Never had,Never had,Yes,Never had,No,Not Surveyed,Yes - always,8.294299608857235,12.301387370778713,12.388398368982115,-4.007087761921477,0.6195139538179002,3.0,2.0,1,0,0,1.0,Established_Veterans
Uganda,Female,53.0,7.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes - sometimes,4.110873864173311,8.343077871169383,8.699681400989514,-4.232204006996072,0.42381534962106493,2.5,0.0,1,0,0,0.5,High_Risk_Informal
Uganda,Female,32.0,2.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,No,4.61512051684126,5.484796933490655,6.8679744089702925,-0.8696764166493951,0.5865703517768883,5.0,0.0,1,0,0,0.5,High_Risk_Informal
Uganda,Male,37.0,5.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,Yes,Yes - sometimes,5.017279836814924,8.476579508530941,8.881975184248867,-3.4592996717160167,0.5077203436831227,2.5,0.0,1,1,0,0.5,High_Risk_Informal
Uganda,Female,44.0,3.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,No,No,No,5.707110264748875,7.496097345175956,7.783640596221253,-1.7889870804270807,0.649743144910106,5.0,0.0,1,0,0,0.5,High_Risk_Informal
Ghana,Female,58.0,14.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,No,6.608000625296087,5.860786223465865,9.472781556562168,0.7472144018302211,0.6309690113946435,3.0,0.0,0,0,1,1.0,Established_Veterans
Kenya,Male,55.0,20.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Have now,No,Have now,No,Yes,No,12.185875040240456,14.346139397261565,14.690979711984754,-2.1602643570211093,0.7766165825154242,3.0,0.0,1,1,0,1.0,Established_Veterans
DRC,Not Surveyed,24.0,4.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,Yes,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Yes,Have now,Not Surveyed,Yes,Not Surveyed,7.937731775260109,6.90875477931522,7.313886831633462,1.0289769959448885,0.9547558122944226,2.5,3.333333333333333,1,1,0,0.7,Stable_Formal
Uganda,Female,37.0,4.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,5.017279836814924,7.0909098220799835,8.006700845440367,-2.0736299852650593,0.557060784288724,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Kenya,Female,39.0,2.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Have now,No,Yes,Yes - always,13.710151153416941,15.57887072413838,16.195056784687036,-1.8687195707214386,0.7973309611647483,2.0,0.0,1,1,0,1.0,Large_Informal
Uganda,Female,41.0,5.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,3.9318256327243257,6.175867270105761,6.8679744089702925,-2.2440416373814354,0.4997252695994593,5.0,0.0,1,0,1,0.5,High_Risk_Informal
Kenya,Male,50.0,15.0,No,Used to have but don't have now,Never had,Never had,Never had,No,No,Yes,Used to have but don't have now,Used to have but don't have now,No,Have now,No,No,No,3.044522437723423,7.8636512654486515,9.392745258631441,-4.819128827725228,0.2929468934298057,1.0,0.0,1,0,0,1.0,Established_Veterans
Ghana,Female,64.0,2.0,No,Used to have but don't have now,Never had,Have now,Never had,No,No,Yes,Never had,Never had,Yes,Have now,No,Not Surveyed,Yes - sometimes,8.294299608857235,8.699681400989514,9.210440366976517,-0.4053817921322782,0.8123351501746557,2.0,1.0,1,0,0,1.0,Large_Informal
DRC,Not Surveyed,35.0,12.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Have now,Never had,No,Have now,Not Surveyed,Yes,Not Surveyed,8.006700845440367,7.0909098220799835,7.438971592395862,0.9157910233603834,0.9487768453510373,2.5,1.6666666666666665,1,1,0,0.7,Stable_Formal
Ghana,Male,22.0,1.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,Yes,Used to have but don't have now,No,Not Surveyed,No,7.313886831633462,6.90875477931522,8.006700845440367,0.40513205231824134,0.8120494903898257,2.0,0.0,0,0,0,1.0,Large_Informal
Kenya,Female,35.0,5.0,No,Never had,Never had,Never had,Never had,No,Yes,Yes,Never had,Have now,Yes,Have now,Yes - sometimes,Yes,Yes - always,13.864301674514206,9.105090961257085,16.349207451286784,4.75921071325712,0.7991317017473265,4.0,0.0,1,1,1,1.0,Large_Informal
Ghana,Male,59.0,17.0,No,Have now,Never had,Used to have but don't have now,Never had,Yes,Yes,Yes,Have now,Never had,Yes,Never had,Yes - sometimes,Not Surveyed,Yes - always,8.294299608857235,8.294299608857235,9.105090961257085,0.0,0.8208040522007746,4.0,1.0,0,0,1,1.0,Established_Veterans
Ghana,Female,36.0,2.0,No,Used to have but don't have now,Used to have but don't have now,Used to have but don't have now,Never had,No,Yes,Yes,Used to have but don't have now,Never had,Yes,Have now,No,Not Surveyed,No,5.993961427306569,7.0909098220799835,8.294299608857235,-1.0969483947734142,0.644907274303324,3.0,0.0,1,0,0,1.0,Large_Informal
Kenya,Male,56.0,22.0,No,Never had,Never had,Never had,Never had,No,No,No,Never had,Never had,No,Never had,No,No,No,14.953343880298434,9.61587214452889,16.012735246411598,5.337471735769544,0.8789500138405116,0.0,0.0,0,0,0,1.0,Established_Veterans
Kenya,Male,45.0,25.0,No,Never had,Never had,Never had,Never had,No,No,Yes,Never had,Never had,No,Have now,Yes - sometimes,No,No,11.626263078808801,13.277657974137664,13.487007879880162,-1.6513948953288633,0.8025303206299474,1.0,0.0,1,0,1,1.0,Established_Veterans
DRC,Not Surveyed,61.0,6.0,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Used to have but don't have now,Yes,Have now,Not Surveyed,Yes,Not Surveyed,6.90875477931522,5.5254529391317835,6.398594934535208,1.383301840183437,0.9337928134254914,2.5,1.6666666666666665,1,1,0,0.7,Stable_Formal
DRC,Not Surveyed,65.0,5.0,Not Surveyed,Used to have but don't have now,Have now,Have now,Not Surveyed,No,Yes,Not Surveyed,Used to have but don't have now,Have now,No,Have now,Not Surveyed,Yes,Not Surveyed,6.90875477931522,5.860786223465865,6.2166061010848646,1.047968555849355,0.9573412602187938,2.5,3.333333333333333,2,1,0,0.7,Stable_Formal
Uganda,Male,42.0,6.0,No,Not Surveyed,Not Surveyed,Not Surveyed,Never had,No,Yes,Yes,Not Surveyed,Not Surveyed,Not Surveyed,Have now,Yes - sometimes,No,Yes - sometimes,5.198497031265826,6.55250788703459,7.824445930877619,-1.354010855768764,0.5891018055961751,5.0,0.0,1,0,1,0.5,High_Risk_Informal
